BME680_temperature_b,BME680_humidity_b,BME680_pressure_b,BME680_gas_b,BME680_temperature_f,BME680_humidity_f,BME680_pressure_f,BME680_gas_f,DHT21_temperature,DHT21_humidity,DHT22_temperature,DHT22_humidity,moisture_right,moisture_left,temperature_soil,temperature_water,light,level,door,timestamp
16.23,76.9,1007.06,60.01,14.76,82.17,1006.73,5.14,7,44.6,0,0,99.99,99.99,11.94,18.69,0,0,0,"""2023-05-02T22:01:52.000Z"""
16.2,77.04,1007.07,60.27,14.81,81.95,1006.74,5.11,7,44.5,0,0,99.99,99.99,11.94,18.62,0,0,0,"""2023-05-02T22:06:52.000Z"""
16.19,76.89,1007.09,61.02,14.86,81.42,1006.76,5.11,7,44.6,0,0,99.99,99.99,11.88,18.62,0,0,0,"""2023-05-02T22:11:53.000Z"""
16.14,77.2,1007.09,61.47,14.83,81.25,1006.75,5.11,7,44.5,0,0,99.99,99.99,11.88,18.56,0,0,0,"""2023-05-02T22:16:53.000Z"""
16.11,77.04,1007.08,62.25,14.86,80.52,1006.75,5.15,6.9,44.5,0,0,99.99,99.99,11.88,18.56,0,0,0,"""2023-05-02T22:21:53.000Z"""
16.1,77.09,1007.05,61.74,14.82,80.29,1006.73,5.17,6.9,44.5,0,0,99.99,99.99,11.81,18.5,0,0,0,"""2023-05-02T22:26:56.000Z"""
16.06,77.12,1007.03,61.93,14.83,80.43,1006.69,5.19,6.9,44.6,0,0,99.99,99.99,11.81,18.5,0,0,0,"""2023-05-02T22:31:56.000Z"""
16,77.29,1007.05,61.97,14.73,80.6,1006.71,5.19,6.9,44.6,0,0,99.99,99.99,11.75,18.44,0,0,0,"""2023-05-02T22:36:56.000Z"""
15.97,77.23,1007.04,62.58,14.7,80.43,1006.71,5.21,6.9,44.7,0,0,99.99,99.99,11.75,18.44,0,0,0,"""2023-05-02T22:41:56.000Z"""
15.89,77.48,1007.07,63.24,14.7,80.24,1006.71,5.24,6.9,44.8,0,0,99.99,99.99,11.69,18.44,0,0,0,"""2023-05-02T22:46:56.000Z"""
