temperature_3h,temperature_12h,temperature_24h,weather_main_3h,weather_main_12h,weather_main_24h,time_3h,time_12h,time_24h,timestamp
12.73,13.82,8.65,Rain,Clouds,Clouds,"""2023-05-03T00:00:00.000Z""","""2023-05-03T09:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-02T22:01:47.000Z"""
12.94,13.82,8.65,Rain,Clouds,Clouds,"""2023-05-03T00:00:00.000Z""","""2023-05-03T09:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-02T22:31:47.000Z"""
12.89,13.82,8.65,Rain,Clouds,Clouds,"""2023-05-03T00:00:00.000Z""","""2023-05-03T09:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-02T23:01:47.000Z"""
12.24,13.82,8.65,Rain,Clouds,Clouds,"""2023-05-03T00:00:00.000Z""","""2023-05-03T09:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-02T23:31:47.000Z"""
11.91,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T00:01:47.000Z"""
11.76,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T00:31:47.000Z"""
11.56,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T01:01:47.000Z"""
11.75,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T01:31:47.000Z"""
11.55,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T02:01:47.000Z"""
11.17,12.84,6.81,Rain,Rain,Clouds,"""2023-05-03T03:00:00.000Z""","""2023-05-03T12:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-03T02:31:47.000Z"""
11.14,12.84,5.56,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T03:01:47.000Z"""
11.11,12.84,5.56,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T03:31:47.000Z"""
11.11,12.84,5.56,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T04:01:47.000Z"""
11.53,12.84,5.56,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T04:31:47.000Z"""
11.53,12.84,5.56,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T05:01:47.000Z"""
11.99,14.29,5.42,Clouds,Clouds,Clear,"""2023-05-03T06:00:00.000Z""","""2023-05-03T15:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-03T05:31:47.000Z"""
12.17,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T06:01:47.000Z"""
12.45,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T06:31:47.000Z"""
12.74,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T07:01:47.000Z"""
13.39,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T07:31:47.000Z"""
13.96,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T08:01:47.000Z"""
14.18,10.58,9.63,Rain,Clouds,Clear,"""2023-05-03T09:00:00.000Z""","""2023-05-03T18:00:00.000Z""","""2023-05-04T06:00:00.000Z""","""2023-05-03T08:31:47.000Z"""
14.19,8.25,15.08,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T09:01:47.000Z"""
14.15,8.25,15.08,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T09:31:47.000Z"""
15.15,8.25,15.08,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T10:01:47.000Z"""
16.08,8.25,15.08,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T10:31:47.000Z"""
16.86,8.25,15.08,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T11:01:47.000Z"""
16.31,8.22,15.35,Clouds,Clouds,Clear,"""2023-05-03T12:00:00.000Z""","""2023-05-03T21:00:00.000Z""","""2023-05-04T09:00:00.000Z""","""2023-05-03T11:31:47.000Z"""
15.6,6.62,17.26,Clouds,Clouds,Clouds,"""2023-05-03T15:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-04T12:00:00.000Z""","""2023-05-03T12:04:06.000Z"""
15.72,6.62,17.26,Clouds,Clouds,Clouds,"""2023-05-03T15:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-04T12:00:00.000Z""","""2023-05-03T12:34:06.000Z"""
15.63,6.62,17.26,Clouds,Clouds,Clouds,"""2023-05-03T15:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-04T12:00:00.000Z""","""2023-05-03T13:04:06.000Z"""
16.36,6.62,17.26,Clouds,Clouds,Clouds,"""2023-05-03T15:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-04T12:00:00.000Z""","""2023-05-03T13:34:06.000Z"""
16.29,6.62,17.26,Clouds,Clouds,Clouds,"""2023-05-03T15:00:00.000Z""","""2023-05-04T00:00:00.000Z""","""2023-05-04T12:00:00.000Z""","""2023-05-03T14:33:38.000Z"""
14.31,5.5,16.88,Clouds,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T15:03:38.000Z"""
14.22,5.5,16.88,Clouds,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T15:33:38.000Z"""
14.15,5.5,16.88,Clouds,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T16:03:38.000Z"""
15.25,5.5,16.88,Clouds,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T16:33:38.000Z"""
14.89,5.5,16.88,Clouds,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T17:03:38.000Z"""
13.66,5.5,16.88,Clear,Clear,Clouds,"""2023-05-03T18:00:00.000Z""","""2023-05-04T03:00:00.000Z""","""2023-05-04T15:00:00.000Z""","""2023-05-03T17:33:38.000Z"""
